kind,tag,n,k,ic,rank_ic,icir,diracc,n_days,top10_spread_bp,bt_annualised,bt_sharpe,bt_max_drawdown,bt_n_days
single,lstm_ic_large,5,1,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.6581737970014974,-3.4810356184644444,-0.08547321466658997,15
single,lstm_ic_h384_l2_w20,5,5,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.6325688613996086,-3.776625623213502,-0.1030371336089998,15
single,lstm_ic_h384_l2_w20,5,2,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.6733793325212573,-4.091133412459654,-0.11369674632050009,15
single,lstm_ic_h384_l2_w20,5,1,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.7451364457026481,-4.860405731033696,-0.1234369242176575,15
single,lstm_ic_h384_l2_w20,5,3,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8837037083578818,-4.976083815607291,-0.1621155682847043,15
ensemble,ens_large_h384l2,5,5,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.860328474016805,-5.0625349413454375,-0.1545533961737937,15
single,lstm_ic_large,5,3,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.7556068272431684,-5.143639310867957,-0.10278934456827471,15
ensemble,ens_all_long_lstm,5,5,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.7480055645610115,-5.27660282892105,-0.10330058278110155,15
ensemble,ens_large_h384l2,5,3,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8618211779248505,-5.561594992535155,-0.14329183120006495,15
single,lstm_ic_large,30,5,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.7624516450701918,-5.622770819491719,-0.10775602444610421,15
ensemble,ens_large_h384l2,5,2,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8881851518728707,-5.624793936999785,-0.15331942352719075,15
single,lstm_ic_large,15,1,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.7243871931781509,-5.662446067281255,-0.09046510413432207,15
single,lstm_ic_large,20,5,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.7994154154987552,-5.786381520325199,-0.11768700132144094,15
single,lstm_ic_large,10,1,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.7516305421575369,-5.793971636078417,-0.09101780686752103,15
single,lstm_ic_large,5,2,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.9016066316742458,-5.856360963113303,-0.14719219198709943,15
ensemble,ens_all_long_lstm,5,3,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8055284936745849,-5.9106781780503,-0.11497607903862184,15
single,lstm_ic_large,20,3,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.8161639701972203,-6.015312631904786,-0.11997526996657037,15
single,lstm_ic_h384_l2_w20,20,2,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.7576991120847932,-6.030887811561877,-0.10395746869030398,15
single,lstm_ic_h384_l2_w20,10,2,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.7617394625020413,-6.078278369759692,-0.10786610416836129,15
single,lstm_ic_large,5,5,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.8099256618086075,-6.152604774430127,-0.11379317611350104,15
single,lstm_ic_large,20,1,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.7479692735229073,-6.165708264859284,-0.09926096152183328,15
single,lstm_ic_h384_l2_w20,20,1,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.7587103454385487,-6.199617934403348,-0.10417528718785041,15
ensemble,ens_large_h384l2,30,1,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.7863515937730541,-6.252320778376637,-0.10727933628573338,15
single,lstm_ic_h384_l2_w20,30,1,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.7501080641618878,-6.392621100264877,-0.09927941410946983,15
single,lstm_ic_h384_l3_w20,30,1,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.7328499693578925,-6.406879845479468,-0.09484499854013528,15
single,lstm_ic_large,30,3,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.804083840332998,-6.423371435428139,-0.11699625371952227,15
single,lstm_ic_large,15,2,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.8407028127680993,-6.424196623323831,-0.11967331970595707,15
single,lstm_ic_h384_l2_w20,10,5,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8429865284697872,-6.453471718875687,-0.13483457078856675,15
ensemble,ens_all_long_lstm,5,1,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.9073377085462507,-6.599275475609328,-0.15266666071568735,15
ensemble,ens_all_long_lstm,10,1,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.851999995594004,-6.6270733819863725,-0.11815015936767437,15
single,lstm_ic_h384_l3_w20,15,1,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8060917953712907,-6.642636151505977,-0.11642405967725566,15
single,lstm_ic_large,10,2,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.8885927715599939,-6.644715137520862,-0.13331525104857567,15
single,lstm_ic_h384_l2_w20,30,2,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.7604689021823863,-6.67026386095431,-0.10191534834368599,15
single,lstm_ic_large,30,2,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.8108617216982471,-6.733859113988488,-0.1165566027793431,15
ensemble,ens_all_long_lstm,20,5,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.822125083922113,-6.753765103223892,-0.11055452615966821,15
single,lstm_ic_h384_l3_w20,20,1,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.7866093918091801,-6.766467016380827,-0.10975864590401418,15
ensemble,ens_all_long_lstm,5,2,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8352736569364025,-6.768024430600497,-0.12316729474828403,15
ensemble,ens_all_long_lstm,10,5,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8087707479765893,-6.837234331271185,-0.1065294010194563,15
ensemble,ens_large_h384l2,20,2,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8491474332799227,-6.860818493780711,-0.12757138234853727,15
single,lstm_ic_large,15,3,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.8682630088666009,-6.881411377038814,-0.12881544619256458,15
ensemble,ens_all_long_lstm,30,5,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8308819293449385,-6.944928335035495,-0.11480326697559473,15
ensemble,ens_all_long_lstm,15,2,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8675360151932029,-6.956113595028727,-0.12484833141188478,15
single,lstm_ic_large,30,1,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.7585443495868207,-6.975402979441114,-0.10055587211999073,15
single,lstm_ic_h384_l2_w20,10,1,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.7820995937938034,-6.977592267619169,-0.1107539211524573,15
single,lstm_ic_large,20,2,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.8506123132118261,-6.9824973686494936,-0.12642270831378866,15
ensemble,ens_large_h384l2,10,2,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8943642320773693,-7.011318990102809,-0.1436192257725034,15
ensemble,ens_all_long_lstm,15,5,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8379559587189059,-7.012640523027482,-0.11568412451298526,15
single,lstm_ic_h256_l3_w40,5,1,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8491183828918489,-7.019185998741116,-0.1442676918355138,15
single,lstm_ic_large,10,3,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.9060248027503842,-7.059219802224314,-0.1434299460845796,15
ensemble,ens_large_h384l2,30,3,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8401461048320081,-7.073718403193983,-0.12323991440853155,15
single,lstm_ic_h384_l3_w20,5,3,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.951697352204855,-7.087042844550436,-0.22040821104015484,15
single,lstm_ic_h384_l2_w20,30,3,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8373638054832575,-7.118946996428121,-0.12301872163072691,15
single,lstm_ic_h384_l3_w20,5,2,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9406675245024999,-7.134999287981721,-0.2108947619575946,15
ensemble,ens_all_long_lstm,30,2,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8396585481964512,-7.146060546425055,-0.11712061427262832,15
ensemble,ens_large_h384l2,30,2,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8434085497021236,-7.1575293349281806,-0.12386484119966434,15
ensemble,ens_all_long_lstm,15,1,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8504876073555965,-7.162632476504184,-0.11754119662448337,15
single,lstm_ic_h384_l3_w20,5,5,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9542096787424055,-7.21063629543232,-0.22270717292960962,15
single,lstm_ic_h384_l2_w20,15,2,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.803500198575456,-7.212961255829733,-0.11401888093857959,15
ensemble,ens_all_long_lstm,15,3,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8639375664455156,-7.215054837987958,-0.12338848648839729,15
ensemble,ens_large_h384l2,5,1,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.9585211967851004,-7.2199763903565195,-0.19687681250663835,15
ensemble,ens_all_long_lstm,30,3,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8441582495456196,-7.242119261537294,-0.11870099154366487,15
ensemble,ens_all_long_lstm,20,3,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8558360820866344,-7.280649189443222,-0.12101054580402448,15
single,lstm_ic_h384_l2_w20,15,1,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8215910807206156,-7.283108507217329,-0.11894911591504564,15
ensemble,ens_large_h384l2,20,1,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8648595891209084,-7.297341942447821,-0.13292248081604785,15
ensemble,ens_large_h384l2,15,2,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8786820266204513,-7.392759603905754,-0.13283009741245644,15
single,lstm_ic_h384_l2_w20,15,3,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8740855142950821,-7.395570344016161,-0.13756633409864882,15
single,lstm_ic_h384_l3_w20,30,2,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8456229270423448,-7.42261429183136,-0.12477863722157412,15
ensemble,ens_all_long_lstm,20,1,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8368706532523749,-7.519154403630865,-0.11375110286107937,15
single,lstm_ic_h256_l3_w40,30,2,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.781380944261673,-7.527316816691588,-0.10476334418798139,15
ensemble,ens_all_long_lstm,10,3,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.875873396628067,-7.52892953917567,-0.12843630314900878,15
