kind,tag,n,k,ic,rank_ic,icir,diracc,n_days,top10_spread_bp,bt_annualised,bt_sharpe,bt_max_drawdown,bt_n_days
ensemble,ens_all_long_lstm,10,2,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8801644258605245,-7.549104178731531,-0.12966918048403042,15
single,lstm_ic_h256_l3_w40,15,3,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8209522963178664,-7.60961759745223,-0.11846863940631192,15
ensemble,ens_all_long_lstm,20,2,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8751200000761152,-7.638003337168643,-0.12845844244123128,15
single,lstm_ic_h384_l2_w20,20,3,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8667133492466039,-7.653943713248887,-0.13499320013820382,15
single,lstm_ic_h384_l2_w20,10,3,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.9050624961538557,-7.689235283015067,-0.15495251966197932,15
ensemble,ens_large_h384l2,30,5,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.871047979199825,-7.751326206035791,-0.13374619396117715,15
ensemble,ens_large_h384l2,20,3,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8729492233959262,-7.780584277564992,-0.13591791019923372,15
single,lstm_ic_final_h384_l2_w20,30,3,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8379575207164512,-7.842022303099924,-0.10819483315726786,15
single,lstm_ic_h384_l3_w20,5,1,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9448253387418569,-7.890729321230083,-0.2107121612877959,15
ensemble,ens_large_h384l2,10,1,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.9141556913039017,-7.919218235206798,-0.1540859715611831,15
single,lstm_ic_h256_l3_w40,30,1,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.7790259372139445,-7.939887357480472,-0.1058608285011835,15
single,lstm_ic_large,15,5,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.8835418755904687,-8.022783185409837,-0.13566862773103172,15
ensemble,ens_large_h384l2,10,3,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.9097999659278649,-8.025151331791925,-0.1589912213426229,15
single,lstm_ic_large,10,5,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.8799071945000408,-8.030579571983408,-0.13003791436577528,15
single,lstm_ic_final_h384_l2_w20,30,5,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.83527486205022,-8.074339724396726,-0.10884087755500516,15
ensemble,ens_all_long_lstm,30,1,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8530034776028508,-8.117557638560578,-0.12099441504322217,15
ensemble,ens_large_h384l2,20,5,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.877556585521209,-8.129071386607764,-0.1375375010479839,15
single,lstm_ic_h256_l3_w40,15,1,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8018619208369463,-8.148789969588206,-0.11406045797015973,15
single,lstm_ic_h256_l3_w40,10,1,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8209918860650762,-8.190443824499592,-0.12474496068138707,15
single,lstm_ic_h384_l3_w20,30,5,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8315925091667806,-8.196727396506146,-0.12103247893258828,15
ensemble,ens_large_h384l2,15,3,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8932235537284424,-8.211486392054855,-0.1452867539885686,15
single,lstm_ic_h256_l3_w40,15,2,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.7990342637205453,-8.226340654123064,-0.11132299967619586,15
single,lstm_ic_h384_l2_w20,30,5,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8631940981144172,-8.254054738358814,-0.13211886926169458,15
single,lstm_ic_h384_l2_w20,20,5,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8755864577304177,-8.276607937080417,-0.1391315413313151,15
single,lstm_ic_h384_l2_w20,15,5,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8593539827232579,-8.395372723717603,-0.13097033823890936,15
ensemble,ens_large_h384l2,10,5,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.9137281326518871,-8.403914231146935,-0.1588131446322809,15
single,lstm_ic_h384_l3_w20,10,5,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8790290670798014,-8.444543406612604,-0.14636100261275176,15
ensemble,ens_large_h384l2,15,1,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8987549295113847,-8.516601389214443,-0.14235261928238963,15
single,lstm_ic_final_h384_l2_w20,20,2,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8714019781358485,-8.517493236831037,-0.12067825767500417,15
single,lstm_ic_final_h384_l2_w20,20,1,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.848371582591035,-8.525438645500762,-0.11266208664399835,15
single,lstm_ic_final_h384_l2_w20,30,2,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8390261502782828,-8.579318446458227,-0.10736042361169174,15
single,lstm_ic_h384_l3_w20,10,3,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.919229077507678,-8.701241807517343,-0.16508326940831575,15
single,lstm_ic_final_h384_l2_w20,15,1,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.853935084855627,-8.74049178797839,-0.11637622934005942,15
single,lstm_ic_h256_l3_w40,10,2,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.845300068555206,-8.743915830980388,-0.13121164816308062,15
single,lstm_ic_final_h384_l2_w20,20,3,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8656974272391839,-8.746831178092643,-0.11673337945314,15
single,lstm_ic_h256_l3_w40,5,2,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.9329894678989425,-8.765528191957253,-0.18455798730693973,15
single,lstm_ic_final_h384_l2_w20,30,1,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8544868865844156,-8.801883540553636,-0.11316940385684282,15
single,lstm_ic_h256_l3_w40,30,3,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8281270924050869,-8.845540932165584,-0.11826172787121236,15
single,lstm_ic_h256_l3_w40,5,5,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.9146946131049236,-8.871908286018115,-0.1663895589060388,15
single,lstm_ic_h256_l3_w40,20,2,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8107544269825759,-9.032143156785096,-0.11107672227483589,15
single,lstm_ic_h256_l3_w40,30,5,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8346620683393822,-9.185594530399882,-0.11950603634540669,15
single,lstm_ic_final_h384_l2_w20,15,2,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8901320588845633,-9.257137530662845,-0.12802459682240264,15
ensemble,ens_large_h384l2,15,5,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.9148405671430431,-9.269969892804495,-0.15610681839293028,15
single,lstm_ic_h384_l3_w20,10,1,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8917179593204425,-9.309114497334368,-0.1523684719775581,15
single,lstm_ic_final_h384_l2_w20,20,5,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8316535622702533,-9.382380485391266,-0.10555193180578726,15
single,lstm_ic_h256_l3_w40,15,5,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8784569117960508,-9.420186441781038,-0.13600061375977268,15
single,lstm_ic_h384_l3_w20,30,3,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8844861004223694,-9.489635505946715,-0.14096444800475016,15
single,lstm_ic_final_h384_l2_w20,15,5,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8552120333662644,-9.549361995675323,-0.11364335046455276,15
single,lstm_ic_h384_l3_w20,20,5,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8874796588403627,-9.5521288547861,-0.1415647554798013,15
single,lstm_ic_h384_l3_w20,15,5,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9000163849672224,-9.617637616875946,-0.14648139989425535,15
single,lstm_ic_h256_l3_w40,20,3,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8617430644470814,-9.781509149825167,-0.12831923716096183,15
single,lstm_ic_h256_l3_w40,10,3,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8944177646746959,-9.789680225420437,-0.14750523547144256,15
single,lstm_ic_h384_l3_w20,20,2,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9007341788496195,-10.00316865574738,-0.14898853514121158,15
single,lstm_ic_h256_l3_w40,20,1,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8298094941076154,-10.084430779505654,-0.11816137292797002,15
single,lstm_ic_final_h384_l2_w20,10,5,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.842517968003716,-10.168698925890821,-0.11108342218285039,15
single,lstm_ic_final_h384_l2_w20,10,3,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.862355528215867,-10.185027201434314,-0.11735301920091201,15
single,lstm_ic_h384_l3_w20,15,3,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9136517424131302,-10.245740203537947,-0.15429083093736373,15
single,lstm_ic_h384_l3_w20,10,2,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9419024499664721,-10.261934978347423,-0.18101848587113678,15
single,lstm_ic_h384_l3_w20,20,3,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8974062385912023,-10.281346253594586,-0.14567322701117047,15
single,lstm_ic_h256_l3_w40,10,5,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.9211577032614677,-10.405437602924113,-0.16326432483074504,15
single,lstm_ic_final_h384_l2_w20,15,3,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.848362212589369,-10.427798944236255,-0.11180072642339811,15
single,lstm_ic_final_h384_l2_w20,5,1,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.9480453489922694,-10.54045774002547,-0.16949088015211888,15
single,lstm_ic_final_h384_l2_w20,10,1,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.9185410810369493,-10.547522803332084,-0.14543177216545156,15
single,lstm_ic_h256_l3_w40,5,3,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.9397472283325403,-11.018424798063297,-0.18365583454704593,15
single,lstm_ic_final_h384_l2_w20,5,5,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8905254189900897,-11.185259370498713,-0.12606204609808858,15
single,lstm_ic_h256_l3_w40,20,5,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.885126377445839,-11.196389524388318,-0.13672548351449143,15
single,lstm_ic_final_h384_l2_w20,5,3,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8982323349119731,-11.333256910446075,-0.13276126944849154,15
single,lstm_ic_h384_l3_w20,15,2,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9273422047933415,-11.92474992863377,-0.16279796033482907,15
single,lstm_ic_final_h384_l2_w20,10,2,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.9035274058014098,-12.48086673717071,-0.13690809831183615,15
single,lstm_ic_final_h384_l2_w20,5,2,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.90582078653069,-12.767733779719242,-0.1387384174570112,15
